Region,16-Apr,16-Mar,16-Feb,16-Jan,15-Dec,15-Nov,15-Oct,15-Sep,15-Aug,15-Jul,15-Jun,15-May,15-Apr,15-Mar,15-Feb,15-Jan,14-Dec,14-Nov,14-Oct,14-Sep,14-Aug,14-Jul,14-Jun,14-May,14-Apr,14-Mar,14-Feb,14-Jan,13-Dec,13-Nov,13-Oct,13-Sep,13-Aug,13-Jul,13-Jun,13-May,13-Apr,13-Mar,13-Feb,13-Jan,12-Dec,12-Nov,12-Oct,12-Sep,12-Aug,12-Jul,12-Jun,12-May,12-Apr,12-Mar,12-Feb,12-Jan,11-Dec,11-Nov,11-Oct,11-Sep,11-Aug,11-Jul,11-Jun,11-May,11-Apr,11-Mar,11-Feb,11-Jan,10-Dec
Beihai,100.3,100.4,100.4,99.8,100.3,99.9,99.5,100.4,100.5,100,99.9,99.8,99.6,99.8,99.7,99.2,99.9,99,99.2,98.9,98.6,99.5,99.5,100,100.1,100.3,100.3,100.7,100.5,100.8,100.5,101.1,100.9,100.9,101.1,100.8,101,100.9,101,100,99.7,100.4,100.1,99.8,100,100.3,100,99.9,99.9,99.8,99.7,99.8,99.8,99.9,99.8,99.9,99.9,100,99.9,99.7,100.6,100.7,100.8,100.4,
Haikou,100.4,100.3,100.2,100.1,100.2,99.8,100,100.2,100.4,100,99.9,99.8,99.6,100,99.4,99.5,99.3,99.7,99.1,99,99.5,99.2,99.4,99.8,100,99.8,100,100.5,100.3,100.6,100.7,100,100,100.2,100,100.3,100.1,100.2,100.2,99.7,99.8,100.5,100,99.9,100.1,100.1,99.9,99.8,99.9,100,100,99.7,99.8,99.7,99.9,99.9,99.8,99.8,100,100,100,99.9,100.2,100.5,
Sanya,99.9,99.8,100.1,100,100.5,99.7,100,100,100.3,100.2,99.9,99.8,99.8,99.9,99.8,99.5,99.3,99.4,99.3,99.6,99.5,97.6,99.9,100.1,100.2,100.4,100.2,100.4,100.2,100.9,100.8,100.3,100.6,100.3,100.2,99.9,100.6,100.6,100.4,100.3,100.4,100.1,99.9,100,100,99.9,99.9,99.8,99.7,99.8,100,100,100,99.8,100,100,100,100,99.9,100.3,99.9,100.4,100.4,100.4,
Chongqing,100.4,100.6,100.4,100.8,100.4,99.9,100,100.1,100.1,100.3,100.1,99.9,99.8,99.7,99.4,99.6,99.7,99.5,99.3,98.2,98.7,99.1,99.2,100,100.1,100.3,100.2,100.4,100.2,100.8,100.6,100.8,100.9,100.5,100.6,100.7,101.1,101,100.9,100.9,100.4,100.5,100.2,99.9,100.2,100.1,100,100,100,100.2,99.9,99.8,99.7,99.9,99.8,99.6,99.6,99.8,100,100.2,100.3,100.6,100.4,99.9,
Chengdu,100.6,100.2,100,100.2,100.2,100.5,100.1,100.1,100.3,100.5,100.2,100.1,99.9,99.4,99.6,99.7,99.8,99.4,98.8,98.9,98.8,98.9,99.4,99.7,100.1,100.3,100.5,100.6,100.2,100.6,100.4,100.6,100.8,100.3,100.9,101,101.8,100.9,100.8,101,100.4,100.4,100,100.1,100,100.3,100,99.7,99.9,99.8,100,99.9,99.9,99.8,100,100,100.1,99.7,99.9,100.2,99.9,100,100.5,101.4,
Luzhou,100.5,100.3,99.4,100.4,100,99.8,100.2,100.9,99.8,99.9,99.7,99.7,99.4,99.8,100,99.4,98.7,99.6,99.3,98.1,98.6,98.3,99.2,100.1,100.2,100.3,100.3,100.6,100.7,100.4,100.5,101.8,101,101,99.9,100,100.8,101.1,100.8,100.5,100.5,100.9,99.7,99.9,100.1,100.4,100.2,100,99.9,100,99.9,100,100,100,100.1,100.2,100.2,100.8,100.1,100.2,100.2,100,100.3,99.5,
Nanchong,100.6,100.7,99.8,99.9,99.7,99.9,99.9,99.7,99.8,99.6,99.7,99.5,99.7,99.4,99.7,99.6,99.5,99.3,98.6,98.8,98.7,98.9,99.6,100,100.1,100.4,100.5,100.5,100.6,100.1,100,100.2,100.7,100.8,101.8,101,101,101.4,101.2,101.2,100.7,100.5,100.1,100.2,100.2,100.2,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100,100,100.6,100.1,100.1,100.1,100.2,99.6,98.3,
Guiyang,100.7,100.4,100.3,100.3,99.8,99.9,99.7,100.1,100.3,100.2,100.1,99.8,99.8,100.2,99.6,99.7,99.6,99.6,99.2,99.4,98.7,99.6,100.2,100.2,100.3,100.1,100.3,100.2,100.3,100.4,100.9,100.8,100,100.6,99.9,100.7,101.1,100.7,100.7,100.4,100.2,100,100.2,100.2,100.1,100.1,100,100.1,100,100,100,100,100.1,100.2,100.2,100.2,100.1,100.2,100,100.1,100.5,100.6,100.6,100.2,
Zunyi,100.1,100.2,100.1,100,99.9,99.8,99.9,99.8,100.2,99.9,99.7,99.9,99.6,99.6,99.6,99.2,99.9,99.5,99.4,99.4,99,99.3,99.7,100,100.1,100.2,100.3,100.3,100.3,100.9,100.5,100.3,101,100.2,100.3,100,100.5,100.5,101,100.8,100.4,100.1,100.2,99.6,100.5,100.1,100.2,99.8,99.9,100.1,100,100,100,100,100.1,99.9,100.1,100.1,100.3,100.3,99.9,100.3,101,101,
Kunming,100.8,99.9,100,100.3,100.1,99.9,100,99.8,99.6,99.7,100,99.8,99.7,99.9,99.7,99.8,99.5,99.4,99.5,99.1,99,99.2,99.5,100,100.2,100.1,100.2,100.6,100.5,100.5,100.4,100.4,100.7,100.3,100.5,100.6,100.6,100.9,100,100.3,100.6,100.5,100,100.2,100,100.4,99.9,99.9,100,99.9,100,100,100,99.8,100.1,100.3,100,99.9,100.2,100.1,100.1,100.2,100.5,101,
Dali,100.2,99.3,99.9,100.6,99.9,100,99.7,100.1,99.7,99.9,100,99.8,99.5,99.8,99.5,99.6,99.4,99.4,99.1,99.5,98.9,100.1,100,100.1,100.1,100,100,100.2,100.1,100.9,100.4,100.3,101,100.3,100.6,100.7,100.4,100.7,100,99.9,100.2,99.9,99.8,100,99.9,100.1,99.9,99.9,100,100.1,100,100,100,100,100,100.2,100,100.5,100,100,100,100,100,100,
Xi''An,100.4,100.1,99.9,99.8,100.2,100.2,100.4,100.2,100.2,100.2,100,100,99.7,99.9,99.6,99.5,99.5,99.3,99.4,99.1,98.8,99.4,100,99.8,100.3,100.3,100.3,100.4,100.5,100.3,100.6,100.7,100.9,101,100.9,101.1,100.9,101.1,100.8,100.6,100.2,100.1,100.2,100.3,100.3,99.9,100.2,100,100,99.7,99.9,99.9,100,99.9,100,100.2,100,100.1,100.1,100.1,100.6,100.9,100.4,101.1,
Lanzhou,100.4,100.3,100.1,100.2,100.2,100,100,100.5,100,99.8,99.6,99.8,99.4,99.9,99.6,99.6,99.8,99.7,99.4,99.5,99.7,99.4,99.2,99.8,100.1,100.1,100.3,100.1,100.2,100.4,100.3,100.3,101.1,100.5,101.1,100.6,100.8,101.1,100.9,100.3,100,100.4,99.9,100,100,100,100,100,99.9,99.9,100,100,100,100.1,100.2,100.2,99.9,100.1,100.2,100.1,100,99.5,100.4,101.2,
Xining,100.5,100.2,99.9,100.2,99.6,100.1,99.7,100,99.8,99.3,99.5,99.6,99.8,99.9,99.5,99.2,99.7,99.6,99,98.9,98.7,100,100.1,100,100.2,100.3,100.2,101,100.6,100.5,100.8,100.3,101.1,100.9,101.1,101.2,100.8,100.5,101.4,100.2,100.2,100.4,100.4,100.2,100.4,100,100.1,100.1,100.2,100.2,100.1,100,99.9,100.1,100.2,100.2,100.1,100.1,100.3,100.4,100.3,100.2,100.3,100.5,
Yinchuan,100.7,100.2,100,99.7,99.7,100.1,99.7,100.1,99.8,99.5,99.8,99.6,99.5,99.5,99.5,99.7,99.8,99.1,99.5,99.5,98.5,99.2,100.1,100,100.1,100.4,100.3,100.4,100.6,100.7,100.5,100.6,101.3,100.6,100.9,100.8,100.9,100.5,100.5,100.3,100.4,100.5,100.1,100.3,100.4,100.2,99.9,100,99.9,100.1,100,99.9,100.1,100,100.1,100.3,100,100.2,100.4,100.2,100.4,100.7,99.8,100.8,
Urumqi,100.2,100.1,99.4,99.3,99.8,100.2,99.8,100,99.7,100,99.9,99.8,99.7,99.6,99.7,99.6,99.5,99.3,99.4,99.3,98.6,99.4,99.6,99.9,100,100.5,100.4,100.1,100.9,100.4,100.7,100.7,100.9,100.7,99.9,100.7,101.2,101,101.5,101.1,100.3,100.6,100.5,100.3,100.2,100.3,100.1,100,100.1,99.9,100,100,100,100,100.2,100.2,100.2,100.3,100.4,100.5,100.4,100.7,101.1,101.6,
